h,r,t,score,edge_betweenness_dir,edge_degree_centrality_dir,node_degree_avg_dir,h_in_degree,h_out_degree,t_in_degree,t_out_degree,edge_betweenness_undir,edge_degree_centrality_undir,node_degree_avg_undir
experimental_model_of_disease,process_of,fungus,0.7321659326553345,6.981539857122138,178,90.0,76,50,27,27,0.0,145,73.5
chemical_viewed_structurally,causes,neoplastic_process,0.9113869667053223,7.314604799681753,191,96.5,13,40,80,60,0.0,147,74.5
cell,produces,lipid,0.710414469242096,7.366785191448711,120,61.0,14,53,18,37,0.0,112,57.0
hormone,affects,neoplastic_process,0.830115795135498,7.611219551832248,207,104.5,35,34,80,60,0.0,158,80.0
cell_function,process_of,physiologic_function,0.61474609375,1.8689688077523225,220,111.0,64,49,61,48,0.0,167,84.5
quantitative_concept,measurement_of,amino_acid_sequence,0.1830306351184845,186.21929222599871,26,14.0,4,17,1,6,0.0,26,14.0
congenital_abnormality,result_of,therapeutic_or_preventive_procedure,0.5600065588951111,37.24113527103913,171,86.5,67,50,28,28,0.0,143,72.5
tissue,location_of,physiologic_function,0.7484541535377502,1.7527566126192458,176,89.0,16,53,61,48,0.0,141,71.5
cell_function,process_of,reptile,0.7626908421516418,4.848856637811516,155,78.5,64,49,33,11,0.0,126,64.0
pathologic_function,produces,enzyme,0.7993879318237305,11.457429962807808,214,108.0,77,61,41,37,0.0,159,80.5
enzyme,affects,disease_or_syndrome,0.7817699909210205,8.14134611569573,215,108.5,41,37,79,60,0.0,157,79.5
alga,location_of,immunologic_factor,0.6129910349845886,17.97510208432442,128,65.0,25,21,45,39,0.0,106,54.0
anatomical_structure,part_of,rickettsia_or_chlamydia,0.7194602489471436,21.77233391282303,84,43.0,10,18,32,26,0.0,78,40.0
clinical_attribute,manifestation_of,genetic_function,0.6594429612159729,5.995997177511648,172,87.0,25,36,64,49,0.0,133,67.5
congenital_abnormality,occurs_in,age_group,0.5985506176948547,24.935540171390297,154,78.0,67,50,15,24,0.0,133,67.5
inorganic_chemical,interacts_with,hormone,0.7011409401893616,2.1449842353244155,116,59.0,13,36,35,34,0.0,103,52.5
family_group,performs,governmental_or_regulatory_activity,0.5202311873435974,46.8858679409281,63,32.5,17,27,8,13,0.0,59,30.5
pharmacologic_substance,causes,congenital_abnormality,0.8110629320144653,6.082487427745478,173,87.5,14,44,67,50,0.0,153,77.5
cell_or_molecular_dysfunction,occurs_in,disease_or_syndrome,0.4108442962169647,1.912099882688118,276,139.0,79,60,79,60,0.0,194,98.0
tissue,location_of,diagnostic_procedure,0.40560999512672424,18.614642241924475,151,76.5,16,53,26,58,0.0,135,68.5
gene_or_genome,location_of,injury_or_poisoning,0.5265741944313049,7.685322048583579,163,82.5,11,50,65,39,0.0,133,67.5
cell_function,precedes,mental_process,0.7642118334770203,2.5176034613433655,232,117.0,64,49,71,50,0.0,175,88.5
age_group,performs,research_activity,0.5571346282958984,56.23875688763044,93,47.5,15,24,11,45,0.0,91,46.5
tissue,location_of,therapeutic_or_preventive_procedure,0.48209425806999207,13.263812904528967,123,62.5,16,53,28,28,0.0,104,53.0
body_part_organ_or_organ_component,adjacent_to,cell,0.24337509274482727,3.084234360410831,133,67.5,15,53,14,53,0.0,119,60.5
eicosanoid,interacts_with,hormone,0.6999558210372925,2.4464014853890896,119,60.5,16,36,35,34,0.0,106,54.0
clinical_drug,causes,congenital_abnormality,0.42129039764404297,16.948693721138973,157,79.5,30,12,67,50,0.0,138,70.0
hormone,causes,acquired_abnormality,0.8399450182914734,6.308020774886849,185,93.5,35,34,68,50,0.0,155,78.5
body_space_or_junction,connected_to,tissue,0.3755035400390625,5.066222689294355,101,51.5,5,29,16,53,0.0,88,45.0
cell_component,location_of,molecular_function,0.6991193890571594,1.8144940918501078,169,85.5,12,52,60,47,0.0,134,68.0
laboratory_procedure,analyzes,body_substance,0.3814660608768463,5.507950946334893,123,62.5,19,53,26,27,0.0,106,54.0
individual_behavior,associated_with,patient_or_disabled_group,0.3458331525325775,22.837508204491392,91,46.5,22,27,19,25,0.0,71,36.5
hormone,issue_in,biomedical_occupation_or_discipline,0.8242679834365845,1.1961689607886405,179,90.5,35,34,110,2,0.0,165,83.5
diagnostic_procedure,affects,genetic_function,0.8691005706787109,9.550709799205698,195,98.5,26,58,64,49,0.0,162,82.0
organ_or_tissue_function,co-occurs_with,cell_function,0.18904191255569458,1.383126084441874,223,112.5,65,47,64,49,0.0,168,85.0
patient_or_disabled_group,performs,social_behavior,0.49304553866386414,7.869649728230655,76,39.0,19,25,19,15,0.0,65,33.5
organophosphorus_compound,affects,genetic_function,0.9079059362411499,3.0077255379242964,163,82.5,14,38,64,49,0.0,135,68.5
diagnostic_procedure,affects,disease_or_syndrome,0.8376024961471558,12.932022052072773,221,111.5,26,58,79,60,0.0,175,88.5
biologic_function,process_of,physiologic_function,0.7833947539329529,1.768586003368612,211,106.5,59,45,61,48,0.0,162,82.0
antibiotic,issue_in,occupation_or_discipline,0.8599808812141418,1.672394325921252,173,87.5,15,39,118,3,0.0,169,85.5
congenital_abnormality,affects,fungus,0.6934600472450256,6.549893964131659,169,85.5,67,50,27,27,0.0,146,74.0
physiologic_function,affects,organism_function,0.6979089975357056,2.1460174448161298,220,111.0,61,48,65,48,0.0,170,86.0
experimental_model_of_disease,complicates,injury_or_poisoning,0.5358911752700806,6.122914665352546,228,115.0,76,50,65,39,0.0,175,88.5
pharmacologic_substance,diagnoses,cell_or_molecular_dysfunction,0.6950148344039917,6.315480863093344,195,98.5,14,44,79,60,0.0,152,77.0
invertebrate,isa,physical_object,0.6132034063339233,1.998982133489073,99,50.5,28,16,56,1,0.0,96,49.0
cell_or_molecular_dysfunction,affects,organism,0.8152576088905334,6.004709832729514,181,91.5,79,60,41,3,0.0,139,70.5
neoplastic_process,affects,mammal,0.6551526784896851,6.357791271273967,183,92.5,80,60,36,9,0.0,145,73.5
disease_or_syndrome,affects,cell_function,0.6034998297691345,3.980633078843823,250,126.0,79,60,64,49,0.0,182,92.0
cell_or_molecular_dysfunction,result_of,genetic_function,0.8269864916801453,4.314443273488243,250,126.0,79,60,64,49,0.0,181,91.5
organ_or_tissue_function,result_of,human_caused_phenomenon_or_process,0.4756879210472107,7.199634073915875,140,71.0,65,47,14,16,0.0,103,52.5
body_part_organ_or_organ_component,part_of,reptile,0.7415161728858948,1.9869861133019027,110,56.0,15,53,33,11,0.0,101,51.5
body_part_organ_or_organ_component,isa,anatomical_structure,0.4938371479511261,3.2625255602605234,94,48.0,15,53,10,18,0.0,86,44.0
steroid,interacts_with,enzyme,0.7413533329963684,2.3314685409719655,129,65.5,16,37,41,37,0.0,109,55.5
hazardous_or_poisonous_substance,issue_in,biomedical_occupation_or_discipline,0.7635697722434998,1.1428203661327232,164,83.0,26,28,110,2,0.0,162,82.0
genetic_function,result_of,organism_function,0.7201907634735107,2.022391007410756,224,113.0,64,49,65,48,0.0,172,87.0
chemical,causes,cell_or_molecular_dysfunction,0.6289690732955933,13.484294949765136,182,92.0,27,18,79,60,0.0,140,71.0
genetic_function,process_of,fungus,0.849236249923706,4.229312250949475,165,83.5,64,49,27,27,0.0,134,68.0
biologically_active_substance,complicates,organism_function,0.6479799151420593,4.11033885482787,186,94.0,37,38,65,48,0.0,145,73.5
laboratory_procedure,issue_in,occupation_or_discipline,0.9707491993904114,1.5449667767979447,191,96.5,19,53,118,3,0.0,179,90.5
laboratory_or_test_result,associated_with,mental_or_behavioral_dysfunction,0.6566698551177979,3.9925480160285742,183,92.5,0,47,85,53,0.0,142,72.0
alga,interacts_with,vertebrate,0.7797859907150269,2.4567208811454107,94,48.0,25,21,37,13,0.0,89,45.5
diagnostic_procedure,assesses_effect_of,receptor,0.7544191479682922,12.304837899660892,155,78.5,26,58,38,35,0.0,136,69.0
professional_or_occupational_group,diagnoses,cell_or_molecular_dysfunction,0.6612388491630554,14.050013492183503,181,91.5,11,33,79,60,0.0,133,67.5
self_help_or_relief_organization,location_of,health_care_activity,0.6320129632949829,6.845576570396713,56,29.0,2,18,17,21,0.0,49,25.5
neuroreactive_substance_or_biogenic_amine,interacts_with,vitamin,0.48433664441108704,1.5209742727696018,149,75.5,35,40,39,37,0.0,118,60.0
genetic_function,process_of,pathologic_function,0.8831660747528076,6.025194537615829,249,125.5,64,49,77,61,0.0,185,93.5
mental_or_behavioral_dysfunction,occurs_in,neoplastic_process,0.40284064412117004,4.683987539272571,276,139.0,85,53,80,60,0.0,198,100.0
physiologic_function,precedes,organism_function,0.38563716411590576,2.1460174448161298,220,111.0,61,48,65,48,0.0,170,86.0
professional_or_occupational_group,produces,classification,0.5999264121055603,14.5771282187266,53,27.5,11,33,9,2,0.0,47,24.5
eicosanoid,affects,genetic_function,0.843197762966156,3.1529852859306904,163,82.5,16,36,64,49,0.0,135,68.5
experimental_model_of_disease,affects,bird,0.7497658133506775,7.148470723979087,170,86.0,76,50,33,13,0.0,139,70.5
geographic_area,issue_in,biomedical_occupation_or_discipline,0.8447930812835693,1.0666666666666667,126,64.0,3,13,110,2,0.0,124,63.0
self_help_or_relief_organization,carries_out,governmental_or_regulatory_activity,0.6557537913322449,3.9830305672076447,39,20.5,2,18,8,13,0.0,38,20.0
chemical_viewed_structurally,interacts_with,pharmacologic_substance,0.611815869808197,4.257941435527644,109,55.5,13,40,14,44,0.0,101,51.5
governmental_or_regulatory_activity,method_of,occupation_or_discipline,0.5952962636947632,2.316666666666667,140,71.0,8,13,118,3,0.0,137,69.5
organic_chemical,interacts_with,biologically_active_substance,0.709526777267456,2.51038251246162,125,63.5,14,38,37,38,0.0,105,53.5
pathologic_function,result_of,congenital_abnormality,0.5803916454315186,2.5494966081368315,253,127.5,77,61,67,50,0.0,197,99.5
bird,isa,vertebrate,0.35035866498947144,2.1479166666666663,94,48.0,33,13,37,13,0.0,87,44.5
nucleic_acid_nucleoside_or_nucleotide,interacts_with,immunologic_factor,0.8227871060371399,2.8174112175477615,134,68.0,10,42,45,39,0.0,111,56.5
organophosphorus_compound,causes,mental_or_behavioral_dysfunction,0.8681976199150085,6.025868570011873,188,95.0,14,38,85,53,0.0,146,74.0
mental_process,affects,fish,0.7175239324569702,11.995826606525279,165,83.5,71,50,35,11,0.0,134,68.0
medical_device,treats,injury_or_poisoning,0.4492805600166321,19.358322547383764,126,64.0,8,16,65,39,0.0,102,52.0
diagnostic_procedure,method_of,biomedical_occupation_or_discipline,0.8881761431694031,1.243494056756252,194,98.0,26,58,110,2,0.0,186,94.0
plant,interacts_with,archaeon,0.8152376413345337,1.1051282051282052,81,41.5,24,20,34,5,0.0,81,41.5
laboratory_procedure,assesses_effect_of,organ_or_tissue_function,0.6850958466529846,4.800729371973124,182,92.0,19,53,65,47,0.0,146,74.0
chemical_viewed_structurally,interacts_with,neuroreactive_substance_or_biogenic_amine,0.6707020998001099,2.7279607205002,126,64.0,13,40,35,40,0.0,102,52.0
mental_process,affects,human,0.5772979259490967,12.280927164206465,166,84.0,71,50,38,9,0.0,135,68.5
biologically_active_substance,disrupts,cell,0.48172539472579956,23.2883442563339,140,71.0,37,38,14,53,0.0,118,60.0
acquired_abnormality,complicates,anatomical_abnormality,0.3945346474647522,2.2545194941934077,236,119.0,68,50,69,51,0.0,195,98.5
injury_or_poisoning,result_of,individual_behavior,0.4907347559928894,20.704260210416763,151,76.5,65,39,22,27,0.0,111,56.5
chemical_viewed_structurally,interacts_with,organic_chemical,0.3527615964412689,5.948984616415057,103,52.5,13,40,14,38,0.0,92,47.0
health_care_activity,affects,neoplastic_process,0.4022064805030823,12.911379728960659,176,89.0,17,21,80,60,0.0,133,67.5
organism_function,affects,invertebrate,0.6121401190757751,5.490861259223287,155,78.5,65,48,28,16,0.0,127,64.5
anatomical_structure,part_of,reptile,0.7518184185028076,3.7442462228689117,70,36.0,10,18,33,11,0.0,69,35.5
experimental_model_of_disease,degree_of,pathologic_function,0.8479453325271606,2.958745877240123,262,132.0,76,50,77,61,0.0,196,99.0
genetic_function,process_of,fish,0.8973333835601807,4.267494451841147,157,79.5,64,49,35,11,0.0,128,65.0
lipid,interacts_with,chemical_viewed_functionally,0.49394625425338745,2.7184558862190444,105,53.5,18,37,21,31,0.0,96,49.0
genetic_function,affects,vertebrate,0.8455985188484192,4.498632560157131,161,81.5,64,49,37,13,0.0,129,65.5
body_part_organ_or_organ_component,location_of,physiologic_function,0.598354160785675,2.4467082917082923,175,88.5,15,53,61,48,0.0,142,72.0
biologic_function,result_of,experimental_model_of_disease,0.49213624000549316,4.322632356943298,228,115.0,59,45,76,50,0.0,175,88.5
vitamin,complicates,neoplastic_process,0.8207909464836121,8.041237506712639,214,108.0,39,37,80,60,0.0,163,82.5
amino_acid_peptide_or_protein,interacts_with,enzyme,0.7574737071990967,4.988637455056961,128,65.0,14,38,41,37,0.0,109,55.5
governmental_or_regulatory_activity,isa,occupational_activity,0.3615766167640686,1.1111111111111112,47,24.5,8,13,17,11,0.0,47,24.5
acquired_abnormality,result_of,disease_or_syndrome,0.6846010088920593,5.083053414314375,255,128.5,68,50,79,60,0.0,197,99.5
behavior,affects,individual_behavior,0.2735329270362854,9.426780788587163,91,46.5,27,17,22,27,0.0,66,34.0
molecular_function,process_of,physiologic_function,0.6690943241119385,1.5375884702320681,214,108.0,60,47,61,48,0.0,163,82.5
age_group,produces,intellectual_product,0.6622397899627686,21.5281878265549,53,27.5,15,24,11,5,0.0,51,26.5
chemical_viewed_functionally,causes,cell_or_molecular_dysfunction,0.6730246543884277,9.192278330875007,189,95.5,21,31,79,60,0.0,140,71.0
anatomical_abnormality,location_of,mental_or_behavioral_dysfunction,0.735105574131012,4.177374631782765,256,129.0,69,51,85,53,0.0,192,97.0
population_group,uses,intellectual_product,0.733440101146698,20.276428833245095,66,34.0,15,37,11,5,0.0,53,27.5
biomedical_or_dental_material,affects,physiologic_function,0.7726935148239136,3.212273509427277,151,76.5,13,31,61,48,0.0,126,64.0
hazardous_or_poisonous_substance,causes,disease_or_syndrome,0.8715517520904541,8.029790611346446,191,96.5,26,28,79,60,0.0,151,76.5
pharmacologic_substance,complicates,injury_or_poisoning,0.8004242181777954,5.037436022157288,160,81.0,14,44,65,39,0.0,135,68.5
amino_acid_peptide_or_protein,interacts_with,carbohydrate,0.2581382393836975,4.91589190885247,102,52.0,14,38,14,38,0.0,100,51.0
rickettsia_or_chlamydia,location_of,receptor,0.4518405497074127,11.154191641344084,129,65.5,32,26,38,35,0.0,110,56.0
organ_or_tissue_function,affects,disease_or_syndrome,0.5893911719322205,8.932420254384532,249,125.5,65,47,79,60,0.0,182,92.0
organism_function,affects,physiologic_function,0.6849969029426575,1.9958794716834467,220,111.0,65,48,61,48,0.0,170,86.0
biologically_active_substance,disrupts,body_part_organ_or_organ_component,0.5193167328834534,27.616106076531544,141,71.5,37,38,15,53,0.0,117,59.5
genetic_function,affects,natural_phenomenon_or_process,0.7200794816017151,2.1774923271059277,175,88.5,64,49,43,21,0.0,130,66.0
organism_function,process_of,disease_or_syndrome,0.6902595162391663,6.173158517786345,250,126.0,65,48,79,60,0.0,185,93.5
diagnostic_procedure,associated_with,anatomical_abnormality,0.6971458196640015,12.841419424258184,202,102.0,26,58,69,51,0.0,173,87.5
occupational_activity,associated_with,mental_or_behavioral_dysfunction,0.5714230537414551,22.223711278395825,164,83.0,17,11,85,53,0.0,123,62.5
vitamin,associated_with,virus,0.4160900413990021,3.1156434924448457,132,67.0,39,37,34,24,0.0,109,55.5
injury_or_poisoning,occurs_in,patient_or_disabled_group,0.7424720525741577,28.812432526612547,146,74.0,65,39,19,25,0.0,118,60.0
body_space_or_junction,location_of,organ_or_tissue_function,0.5938385725021362,3.0984454297069033,144,73.0,5,29,65,47,0.0,114,58.0
disease_or_syndrome,process_of,natural_phenomenon_or_process,0.7045240998268127,4.47619804480732,201,101.5,79,60,43,21,0.0,143,72.5
governmental_or_regulatory_activity,associated_with,acquired_abnormality,0.770192563533783,13.973946802963823,137,69.5,8,13,68,50,0.0,119,60.5
amphibian,issue_in,occupation_or_discipline,0.8948704600334167,2.1120653185911715,166,84.0,34,13,118,3,0.0,161,81.5
individual_behavior,associated_with,organism_attribute,0.2725033164024353,12.361158094872794,103,52.5,22,27,21,35,0.0,79,40.5
immunologic_factor,complicates,biologic_function,0.5967724323272705,3.329202828755604,186,94.0,45,39,59,45,0.0,140,71.0
injury_or_poisoning,result_of,neoplastic_process,0.7089897990226746,3.687200822786069,242,122.0,65,39,80,60,0.0,181,91.5
manufactured_object,causes,disease_or_syndrome,0.644560694694519,24.21504719748624,160,81.0,12,11,79,60,0.0,120,61.0
human_caused_phenomenon_or_process,result_of,genetic_function,0.6438641548156738,7.335752136866682,141,71.5,14,16,64,49,0.0,104,53.0
diagnostic_procedure,assesses_effect_of,chemical_viewed_functionally,0.7735922932624817,18.12934634749035,134,68.0,26,58,21,31,0.0,121,61.5
quantitative_concept,measurement_of,genetic_function,0.5197806358337402,11.835170068711175,132,67.0,4,17,64,49,0.0,105,53.5
therapeutic_or_preventive_procedure,treats,pathologic_function,0.7431636452674866,12.648660820937,192,97.0,28,28,77,61,0.0,146,74.0
chemical,affects,physiologic_function,0.5892045497894287,5.737567299849909,152,77.0,27,18,61,48,0.0,127,64.5
lipid,ingredient_of,clinical_drug,0.8610892295837402,3.305440746361567,95,48.5,18,37,30,12,0.0,93,47.5
diagnostic_procedure,measures,enzyme,0.8274412751197815,10.87363730836849,160,81.0,26,58,41,37,0.0,136,69.0
rickettsia_or_chlamydia,interacts_with,invertebrate,0.5636160373687744,2.3470303550820524,100,51.0,32,26,28,16,0.0,91,46.5
body_part_organ_or_organ_component,part_of,amphibian,0.7992844581604004,1.8379628253770128,113,57.5,15,53,34,13,0.0,103,52.5
congenital_abnormality,affects,mental_process,0.5241062045097351,4.034898661555061,236,119.0,67,50,71,50,0.0,188,95.0
pathologic_function,degree_of,experimental_model_of_disease,0.7779240608215332,1.4147715452228635,262,132.0,77,61,76,50,0.0,196,99.0
drug_delivery_device,treats,congenital_abnormality,0.4927932024002075,11.267953719921655,138,70.0,7,16,67,50,0.0,119,60.5
tissue,location_of,molecular_function,0.853699803352356,1.8163717556461536,174,88.0,16,53,60,47,0.0,138,70.0
genetic_function,affects,mental_process,0.7474098205566406,2.6077104871087937,232,117.0,64,49,71,50,0.0,176,89.0
molecular_biology_research_technique,measures,steroid,0.6979502439498901,8.010967006998417,108,55.0,9,48,16,37,0.0,106,54.0
therapeutic_or_preventive_procedure,complicates,mental_or_behavioral_dysfunction,0.5064727067947388,11.347927401070184,192,97.0,28,28,85,53,0.0,142,72.0
cell,part_of,virus,0.7091176509857178,1.3324915824915826,123,62.5,14,53,34,24,0.0,108,55.0
cell,part_of,tissue,0.07603447139263153,4.091254012357161,134,68.0,14,53,16,53,0.0,118,60.0
lipid,causes,cell_or_molecular_dysfunction,0.7755639553070068,8.582702006328205,192,97.0,18,37,79,60,0.0,148,75.0
genetic_function,process_of,neoplastic_process,0.8632932305335999,5.762886449823751,251,126.5,64,49,80,60,0.0,187,94.5
group,performs,individual_behavior,0.6278679966926575,8.792961114481793,92,47.0,19,26,22,27,0.0,72,37.0
group,produces,classification,0.7817586660385132,18.63417792370096,54,28.0,19,26,9,2,0.0,50,26.0
acquired_abnormality,result_of,health_care_activity,0.4255579113960266,12.382732769651536,154,78.0,68,50,17,21,0.0,130,66.0
body_location_or_region,location_of,experimental_model_of_disease,0.678496778011322,7.238264505218107,147,74.5,1,22,76,50,0.0,117,59.5
biologically_active_substance,complicates,mental_or_behavioral_dysfunction,0.8239786624908447,5.763941934484804,211,106.5,37,38,85,53,0.0,154,78.0
diagnostic_procedure,assesses_effect_of,chemical_viewed_structurally,0.5602297782897949,38.64659725152157,135,68.5,26,58,13,40,0.0,122,62.0
acquired_abnormality,occurs_in,family_group,0.6577991247177124,29.943505797471623,160,81.0,68,50,17,27,0.0,138,70.0
physiologic_function,affects,amphibian,0.7017205953598022,4.088799239882016,154,78.0,61,48,34,13,0.0,127,64.5
chemical_viewed_structurally,causes,injury_or_poisoning,0.8850986957550049,6.602083937906628,155,78.5,13,40,65,39,0.0,124,63.0
behavior,associated_with,geographic_area,0.0714825987815857,91.38011930655327,58,30.0,27,17,3,13,0.0,49,25.5
mental_process,affects,physiologic_function,0.8071225881576538,12.376604996363273,228,115.0,71,50,61,48,0.0,174,88.0
neuroreactive_substance_or_biogenic_amine,causes,disease_or_syndrome,0.8409722447395325,7.201568713766707,212,107.0,35,40,79,60,0.0,155,78.5
patient_or_disabled_group,performs,molecular_biology_research_technique,0.6313034892082214,44.43397915066556,99,50.5,19,25,9,48,0.0,95,48.5
natural_phenomenon_or_process,isa,event,0.4374794065952301,2.961293503356958,93,47.5,43,21,30,1,0.0,75,38.5
molecular_biology_research_technique,associated_with,congenital_abnormality,0.9206763505935669,7.018832600016465,172,87.0,9,48,67,50,0.0,153,77.5
drug_delivery_device,prevents,mental_or_behavioral_dysfunction,0.8380489945411682,13.46561627930211,159,80.5,7,16,85,53,0.0,118,60.0
physiologic_function,process_of,neoplastic_process,0.8818222880363464,6.210068015969783,247,124.5,61,48,80,60,0.0,185,93.5
molecular_function,process_of,biologic_function,0.5935453772544861,1.698277263675553,209,105.5,60,47,59,45,0.0,159,80.5
congenital_abnormality,manifestation_of,pathologic_function,0.5582582354545593,2.5866981938025964,253,127.5,67,50,77,61,0.0,197,99.5
mental_or_behavioral_dysfunction,affects,cell_or_molecular_dysfunction,0.6576281189918518,3.2154209566405942,275,138.5,85,53,79,60,0.0,192,97.0
physiologic_function,isa,natural_phenomenon_or_process,0.4547766447067261,1.948365620479222,171,86.5,61,48,43,21,0.0,128,65.0
mental_or_behavioral_dysfunction,affects,bacterium,0.5064465999603271,12.079640247593462,187,94.5,85,53,29,22,0.0,140,71.0
organic_chemical,interacts_with,inorganic_chemical,0.5345608592033386,4.555080000310819,99,50.5,14,38,13,36,0.0,94,48.0
neuroreactive_substance_or_biogenic_amine,affects,neoplastic_process,0.7657817006111145,7.133567350465656,213,107.5,35,40,80,60,0.0,159,80.5
congenital_abnormality,result_of,phenomenon_or_process,0.5087313652038574,6.645130324720045,158,80.0,67,50,21,22,0.0,122,62.0
enzyme,disrupts,cell_component,0.49703800678253174,19.41247258470476,140,71.0,41,37,12,52,0.0,113,57.5
genetic_function,precedes,physiologic_function,0.87540203332901,1.5292675498906876,220,111.0,64,49,61,48,0.0,168,85.0
professional_society,location_of,molecular_biology_research_technique,0.4791908264160156,24.667445006516747,71,36.5,2,14,9,48,0.0,70,36.0
hormone,isa,physical_object,0.8650271892547607,1.919638552976965,124,63.0,35,34,56,1,0.0,112,57.0
genetic_function,produces,body_substance,0.8360253572463989,15.657489630950847,164,83.0,64,49,26,27,0.0,129,65.5
immunologic_factor,complicates,cell_function,0.6765499711036682,3.3727657786199297,195,98.5,45,39,64,49,0.0,145,73.5
body_part_organ_or_organ_component,issue_in,occupation_or_discipline,0.9204520583152771,1.479692937109602,187,94.5,15,53,118,3,0.0,176,89.0
laboratory_procedure,assesses_effect_of,nucleic_acid_nucleoside_or_nucleotide,0.7219325304031372,21.657245742454975,122,62.0,19,53,10,42,0.0,112,57.0
organism_function,process_of,virus,0.8464938998222351,3.8827291926665044,169,85.5,65,48,34,24,0.0,135,68.5
genetic_function,process_of,archaeon,0.8663336038589478,4.553028902491273,150,76.0,64,49,34,5,0.0,123,62.5
hazardous_or_poisonous_substance,disrupts,tissue,0.5526109933853149,15.832957254823546,121,61.5,26,28,16,53,0.0,111,56.5
biomedical_or_dental_material,affects,genetic_function,0.7874715328216553,3.5435436669769276,155,78.5,13,31,64,49,0.0,128,65.0
cell_component,location_of,disease_or_syndrome,0.681327223777771,5.215922972899481,201,101.5,12,52,79,60,0.0,152,77.0
family_group,performs,individual_behavior,0.6276020407676697,8.240578028467537,91,46.5,17,27,22,27,0.0,71,36.5
tissue,part_of,reptile,0.7979767918586731,1.903812328999703,111,56.5,16,53,33,11,0.0,100,51.0
organ_or_tissue_function,process_of,cell_or_molecular_dysfunction,0.7851467728614807,8.62157932654714,249,125.5,65,47,79,60,0.0,180,91.0
vitamin,complicates,biologic_function,0.6698595285415649,3.4102435373616173,178,90.0,39,37,59,45,0.0,140,71.0
chemical_viewed_functionally,affects,experimental_model_of_disease,0.6120946407318115,5.796806485858404,176,89.0,21,31,76,50,0.0,140,71.0
biomedical_or_dental_material,causes,experimental_model_of_disease,0.8172820806503296,5.917036994605131,168,85.0,13,31,76,50,0.0,139,70.5
bird,exhibits,social_behavior,0.6795036196708679,26.60917569170843,78,40.0,33,13,19,15,0.0,69,35.5
element_ion_or_isotope,interacts_with,inorganic_chemical,0.39607343077659607,1.8741788649834628,91,46.5,10,34,13,36,0.0,89,45.5
medical_device,treats,anatomical_abnormality,0.593630850315094,11.648091184245613,142,72.0,8,16,69,51,0.0,119,60.5
anatomical_abnormality,isa,entity,0.37696364521980286,4.842920075633317,198,100.0,69,51,78,2,0.0,173,87.5
laboratory_procedure,analyzes,chemical_viewed_functionally,0.6714363098144531,15.013449825927895,122,62.0,19,53,21,31,0.0,106,54.0
hazardous_or_poisonous_substance,complicates,mental_process,0.8045089840888977,4.555745125291856,173,87.5,26,28,71,50,0.0,144,73.0
functional_concept,isa,conceptual_entity,0.2662358582019806,1.25,35,18.5,1,5,28,3,0.0,34,18.0
cell,part_of,vertebrate,0.7567782998085022,1.8200711943665235,115,58.5,14,53,37,13,0.0,104,53.0
disease_or_syndrome,produces,immunologic_factor,0.8109555244445801,10.666085524536983,221,111.5,79,60,45,39,0.0,159,80.5
family_group,produces,medical_device,0.5275523662567139,31.221799469644868,66,34.0,17,27,8,16,0.0,62,32.0
immunologic_factor,complicates,mental_process,0.7685902714729309,4.986638272213323,203,102.5,45,39,71,50,0.0,152,77.0
hazardous_or_poisonous_substance,complicates,injury_or_poisoning,0.5577153563499451,7.496189107054345,156,79.0,26,28,65,39,0.0,132,67.0
diagnostic_procedure,associated_with,injury_or_poisoning,0.7270037531852722,11.36131763672714,186,94.0,26,58,65,39,0.0,156,79.0
laboratory_procedure,measures,quantitative_concept,0.46092864871025085,305.5594199643632,91,46.5,19,53,4,17,0.0,82,42.0
chemical_viewed_structurally,affects,genetic_function,0.785762369632721,3.180694632836683,164,83.0,13,40,64,49,0.0,130,66.0
clinical_attribute,issue_in,biomedical_occupation_or_discipline,0.8646164536476135,1.0430402930402929,171,86.5,25,36,110,2,0.0,157,79.5
pharmacologic_substance,interacts_with,indicator_reagent_or_diagnostic_aid,0.7674992084503174,1.624232456140351,104,53.0,14,44,25,23,0.0,102,52.0
organism_function,affects,archaeon,0.6626353859901428,4.7679192031609015,150,76.0,65,48,34,5,0.0,125,63.5
acquired_abnormality,part_of,human,0.8099026679992676,5.958660397513329,163,82.5,68,50,38,9,0.0,143,72.5
disease_or_syndrome,result_of,cell_or_molecular_dysfunction,0.734476625919342,1.630623929733837,276,139.0,79,60,79,60,0.0,194,98.0
organism_function,process_of,alga,0.7048925757408142,4.699282208188577,157,79.5,65,48,25,21,0.0,132,67.0
idea_or_concept,result_of,mental_process,0.3306083083152771,91.93331403002455,132,67.0,9,4,71,50,0.0,103,52.5
individual_behavior,associated_with,disease_or_syndrome,0.7333173751831055,31.688116189251666,186,94.0,22,27,79,60,0.0,130,66.0
diagnostic_procedure,measures,biologically_active_substance,0.7750393152236938,10.800972968501178,157,79.5,26,58,37,38,0.0,135,68.5
biologically_active_substance,interacts_with,indicator_reagent_or_diagnostic_aid,0.6455959677696228,7.63029591799528,121,61.5,37,38,25,23,0.0,104,53.0
diagnostic_procedure,analyzes,carbohydrate,0.8221608996391296,18.564340072153968,134,68.0,26,58,14,38,0.0,127,64.5
clinical_drug,causes,cell_or_molecular_dysfunction,0.7823542356491089,20.546613855837062,179,90.5,30,12,79,60,0.0,137,69.5
